Date,ISO Week,Reporting week,Time (A),State,LGA,Village,Road,Lat,Long,Description,Incident type,Incident Category,Threat Category,Perpetrator,Target,Fatality
01/05/2021,2,01.01.2021 - 07.01.2021,11:00,BORNO,MAGUMERI,KARNOWA,MAIDUGURI - GAJIRAM RD,12.139699,13.073599,OAG operatives with rifles set up an *IVCP* along this road. They stopped two commercial vehicles in transit and asked all passengers to disembark and robbed them of money and valuables. Subsequently they carjacked the vehicles and Kidnap/Kidnap/Abductionion their drivers.,IVCP,Theft,Terrorism,OAG,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,12:00,BORNO,GUBIO,DUMAI, ,12.463199,12.8344,OAG operatives with rifles and machetes **knife attack* attack* on eight motorcycles entered residences and robbed civilians of money and valuables. The operatives injured a male civilian with machetes **knife attack* attack* for unknown reasons. Reportedly the operatives remained in the town until about 0300hrs of 06.01.2021.,Theft/Mugging,Theft,Terrorism,OAG,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,14:00,BORNO,ASKIRA/UBA,LEHO, ,10.703399,12.844292,"A herdsman armed with a machete encroached on a farmland with cattle, damaged crops and injured a female farmer.",Ethno-political clash,Attack,Armed Conflict,Tribal Militia,Tribal Militia,45
01/05/2021,2,01.01.2021 - 07.01.2021,16:00,BORNO,MAGUMERI,KUPTI SUMARI,MAIDUGURI - NGAMDU RD,12.12784,13.074199,OAG operatives with rifles set up an *IVCP* along this road. They stopped several commercial vehicles in transit and robbed the passengers of money and other valuables before subsequently allowing them to continue their journey.,IVCP,Theft,Terrorism,OAG,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,16:00,BORNO,MONGUNO,MONGUNO, ,12.671276,13.616703," An OAG operative approached a GF/CJTF position within this town and surrendered. CJTF handed him over to GF/NA. Upon interrogation, he claimed to have come from Tumbun Gini in Abadam LGA and went to Maiduguri to visit his relative before surrendering at Monguno. ",Surrender,Rule,Armed Conflict,OAG,Government Forces,0
01/05/2021,2,01.01.2021 - 07.01.2021,18:00,GOMBE,AKKO,KASHERE, ,9.899999,11.016667,"GF/NPF together with vigilantes acting on a tip-off made contact with Kidnap and Kidnap/Abduction at their hideout, leading to an exchange of fire. GF/NPF killed one male criminal, arrested three others and seized weapons.",Arrest/Detention,Attack,Criminality,Government Forces,Criminals,0
01/05/2021,2,01.01.2021 - 07.01.2021,18:00,BORNO,MAFA,MAIWA,MAIDUGURI - MAFA RD,11.88002,13.444569,OAG operatives with rifles on two vehicles opened fire at a GF/NPF convoy in transit along this road. GF returned fire and the exchange of fire lasted for several minutes until the operatives retreated. No casualties were reported.,Ambush,Attack,Armed Conflict,OAG,Government Forces,0
01/05/2021,2,01.01.2021 - 07.01.2021,19:00,BORNO,ASKIRA/UBA,WOMDIOU, ,10.527299,13.130399,"OAG operatives with rifles aboard vehicles entered this area, set on fire residences, a church, and vehicles. Subsequently, they *looting* foodstuff and valuables. No casualties were reported.",Looting,Theft,Terrorism,OAG,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,21:00,BORNO,ASKIRA/UBA,TAMPUL, ,10.577675,13.223194,"OAG operatives with rifles approached the outskirts of this area and fired shots in the air prompting nearby vigilantes to return fire. Shortly after, a GF/NA reinforcement arrived from Lassa town and engaged the operatives until they retreated. No casualties were reported.",SAF attack,Attack,Terrorism,OAG,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,23:00,ADAMAWA,NUMAN,NUMAN, ,9.4827,12.02538,"Three male criminals armed with knives attempted to rob a male civilian of his motorcycle along a secondary road. The civilian resisted prompting the criminals to injure him, while the victim managed to injure one of the criminals. The criminals fled upon sighting oncoming vehicles.",Armed Robbery,Theft,Criminality,Criminals,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,U/N,GOMBE,AKKO,TUKULMA, ,10.132454,10.977985,A male civilian escaped from Kidnap/Abduction him on 04.01.2021 in Pindiga. ,Hostage release,Recover / Seize,Armed Conflict,Civilians,Criminals,0
01/06/2021,2,01.01.2021 - 07.01.2021,05:00,YOBE,GUJBA,BUNI YADI, ,11.276124,12.007706,"A male criminal *theft / mugging* a sheep from a residence while the occupants were away. Four hours later, vigilantes acting on a tip-off apprehended *arrest* *arrest* *arrest* the male criminal along with a male butcher who bought the *theft / mugging*n sheep from him.  They were later handed over to GF/NPF. ",Theft/Mugging,Theft,Criminality,Criminals,Civilians,0
01/06/2021,2,01.01.2021 - 07.01.2021,08:00,YOBE,GEIDAM,GEIDAM, ,12.895204,11.926469,GF/NA reopened a local market that was previously closed on 29.12.2020.,Movement restriction,Rule,Hazardous,Government Forces,Civilians,0
01/06/2021,2,01.01.2021 - 07.01.2021,09:00,BORNO,MAGUMERI,KARNOWA,MAIDUGURI - GAJIRAM RD,12.13947,13.073559,"OAG operatives on motorcycles with rifles set up an *IVCP* along this road. The operatives shot at several commercial vehicles after the drivers refused to stop at the VCP, killing two passengers and injuring another.",IVCP,Attack,Terrorism,OAG,Civilians,0
01/06/2021,2,01.01.2021 - 07.01.2021,12:00,BORNO,NGANZAI,GAJIRAM,MAIDUGURI - GAJIRAM RD,12.4911,13.2122,GF/NA restricted movements in and out of the town. The restriction was linked to reports of heightened OAG presence.,Movement restriction,Rule,Hazardous,Government Forces,Civilians,0
01/06/2021,2,01.01.2021 - 07.01.2021,12:00,BORNO,MMC/JERE,KHADAMARI, ,11.949199,13.2263,GF/NA together with GF/CJTF on patrol made contact with OAG operatives on the outskirts of the town and exchanged fire with them until the operatives retreated. GF recovered 16 cows abandoned by the operatives.,SAF attack,Attack,Armed Conflict,Government Forces,OAG,0
01/06/2021,2,01.01.2021 - 07.01.2021,13:00,BORNO,GWOZA,FIRGI,BAMA - PULKA RD,11.3084,13.7789,OAG operatives with rifles opened fire at commercial vehicles in transit and injured one male civilian. The vehicles managed to continue their journey. ,Ambush,Attack,Terrorism,OAG,Civilians,0
01/06/2021,2,01.01.2021 - 07.01.2021,13:00,BORNO,NGANZAI,GAJIRAM, ,12.4911,13.2122,OAG operatives with rifles aboard vehicles approached a GF/NA checkpoint on the outskirts of the town and fired shots prompting GF to return fire and deploy re-enforcement team. The exchange of fire lasted for several minutes until the operatives withdrew. GF killed at least two operatives and seized one OAG vehicle. One male civilian sustained injuries during the cross fire.,SAF attack,Attack,Armed Conflict,OAG,Government Forces,0
01/06/2021,2,01.01.2021 - 07.01.2021,14:00,BORNO,MAGUMERI,GAJIGANNA, ,12.256999,13.108599,"OAG operatives with rifles aboard motorcycles opened fire at GF/NA members who were patrolling at the outskirts of the area prompting GF to return fire. They exchanged fire briefly before another group of operatives aboard vehicles arrived, which caused the GF to retreat. Subsequently, GF reinforcement team from Gajiram deployed and managed to repel the attack. During the clash, the operatives injured two GF members.",SAF attack,Attack,Armed Conflict,OAG,Government Forces,0
